,Entretien
350,RÉPARER - COMPRESSEUR,REMPLACER - CHASSIS PIÈCE CARROSSERIE,MODIFIER - FLÈCHE SIGNALÉTIQUE,REMPLACER - COLLET,VÉRIFIER - COMPRESSEUR À AIR,RÉPARER - BARRE D'ACCOUPLEMENT,REMPLACER - COLLET,RÉPARER - BRIDES DE FIXATION (U-Bolt),REMPLACER - TRANSMISSION ROULEMENT DE CENTRE (Bearing) BOÎTE DE TRANSFERT,REMPLACER - AIR DRYER
351,RECHERCHER PANNE (diagnostic) - VANAIR
352,AJUSTER - PNEU PNEU ROUE
353,REMPLACER - TRANSMISSION ROULEMENT DE CENTRE (Bearing) BOÎTE DE TRANSFERT,REMPLACER - ESSUIE-GLACE,MODIFIER - COMPRESSEUR,REMPLACER - TRANSMISSION HUILE (entretien) + FILTRE BOÎTE DE TRANSFERT,REMPLACER - PNEU PNEU ROUE
354,REMPLACER - AJUSTEMENT D'USAGE
355,VÉRIFIER - COMPRESSEUR À AIR
356,REMPLACER - GYROPHARE
357,RECHERCHER PANNE (diagnostic) - VANAIR
358,REMPLACER - BATTERIE,RÉPARER - LUMIÈRE DE JOUR (Day running light),RÉPARER - FILAGE ÉLECTRIQUE,VÉRIFIER - RÉSERVOIR À AIR
359,VÉRIFIER - ALTERNATEUR
360,VÉRIFIER - ESPAR
361,VÉRIFIER - VANAIR,VÉRIFIER - ALTERNATEUR
362,MODIFIER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
363,RECHERCHER PANNE (diagnostic) - ESPAR,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
364,RECHERCHER PANNE (diagnostic) - RÉSERVOIR À AIR
365,REMPLACER - CHASSIS PIÈCE CARROSSERIE
366,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
367,RÉPARER - FILAGE ÉLECTRIQUE,RECHERCHER PANNE (diagnostic) - ESPAR
368,REMPLACER - CARBURANT+ FILTRE
369,RECHERCHER PANNE (diagnostic) - RÉSERVOIR À AIR,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
370,INSTALLER - FILAGE ÉLECTRIQUE,RÉPARER - COMPRESSEUR
371,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR,RÉPARER - COMPRESSEUR,AJUSTER - RÉGLEUR (Slack ajuster),RECHERCHER PANNE (diagnostic) - FLÈCHE SIGNALÉTIQUE
372,VÉRIFIER - BATTERIE
373,RÉPARER - COMPRESSEUR,RÉPARER - COMPRESSEUR
374,REMPLACER - AIR DRYER
375,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
376,VÉRIFIER - MOTEUR DE CHAUFFERETTE
377,RÉPARER - COMPRESSEUR,RÉPARER - ESPAR
378,REMPLACER - SOUPAPE À AIR,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE
379,RÉPARER - AJUSTEMENT D'USAGE
380,RÉPARER - COMPRESSEUR
381,RÉPARER - AJUSTEMENT D'USAGE
382,REMPLACER - AJUSTEMENT D'USAGE
383,VÉRIFIER - Programme Entretien Préventif
384,RÉPARER - AJUSTEMENT D'USAGE
385,RÉPARER - COMPRESSEUR
